ROW_TYPE,ROW_ID,ARTIFACT,DECISION_OR_CITATION,VALUE,UNITS,CLASSIFICATION,SOURCE_IDS,LOCATOR,SENSITIVITY_REQUIRED,VERIFICATION_STATUS,NOTES
DECISION,UB-07,UPPER_BODY_HAT_BAR_INERTIAL_AUTHORITY,Bar local placement relative to the HAT frame.,"{""center_m"": [-0.095, 0.0, 0.6], ""orientation"": ""identity (bar axis along +y)""}",m,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S04,"upper-back/shoulder-girdle placement, posterior of the trunk axis","placement sensitivity +/- [0.025, 0.025] m in x and z",RECOMPUTED_FROM_INPUTS,RES-83 must not silently move the nominal; any change is an authority amendment.
DECISION,UB-08,UPPER_BODY_HAT_BAR_INERTIAL_AUTHORITY,"Combined HAT+bar mass, COM and inertia about the combined COM.","{""mass_kg"": 58.7969, ""com_m"": [-0.04284878382223176, -1.888233945369835e-18, 0.5008079067934639], ""inertia_about_com_kg_m2"": [[13.746432717170366, 6.454194752049098e-18, 0.1360143545930838], [6.454194752049098e-18, 1.8608048237640293, -2.2075708375430198e-18], [0.1360143545930838, -2.2075708375430198e-18, 12.688717904231572]]}",kg / m / kg m^2,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S01;S04,rigid HAT (engineering posture) and rigid bar at the engineering placement UB-07; combination uses exact parallel-axis identity,covered by placement sensitivity,RECOMPUTED_FROM_INPUTS,The sagittal-plane relevant inertia is Iyy = 1.86080482 kg m^2; transverse (pitch-axis) values are larger because of the 2.2 m bar.
DECISION,UB-09,UPPER_BODY_HAT_BAR_INERTIAL_AUTHORITY,Arm-fold disclosure.,"{""elbow_flexion_deg"": 155.04504872475866, ""elbow_interior_angle_deg"": 24.954951275241342}",deg,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S01,geometric consequence of frozen hand placement and published arm lengths,covered by grip-width and wrist-offset sensitivity,RECOMPUTED_FROM_INPUTS,The reduced HAT inertially represents a fixed bar-hold; it is not a claim about achievable articulated elbow angles.
DECISION,UB-10,UPPER_BODY_HAT_BAR_INERTIAL_AUTHORITY,"No arm swing, no bar roll, no bar compliance.","arms/hands rigidly attach to the bar; bar is rigidly attached to HAT in V1; sleeve rotation, bar flex and hand compliance are outside V1",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S04;S16,task definition; system authority section 8,—,RECOMPUTED_FROM_INPUTS,Any future arm-swing or bar-compliance variant is a new model revision.
DECISION,UB-11,UPPER_BODY_HAT_BAR_INERTIAL_AUTHORITY,System COM versus athlete COM.,"SYSTEM_COM (athlete + rigid bar, 99 kg) is the primary mechanics authority; ATHLETE_COM is secondary/report-only",—,PHYSICS_IDENTITY,—,carried-bar closure of the airborne system,—,RECOMPUTED_FROM_INPUTS,Force-impulse and ballistic identities use SYSTEM_COM and 99 kg.
DECISION,LB-01,LOAD_BAR_AUTHORITY,Bar mass.,20.0,kg,LITERATURE_DIRECT,S04,IWF men's bar standard,—,RECOMPUTED_FROM_INPUTS,
DECISION,LB-02,LOAD_BAR_AUTHORITY,Bar total length.,2.2,m,LITERATURE_DIRECT,S04,IWF men's bar standard,—,RECOMPUTED_FROM_INPUTS,
DECISION,LB-03,LOAD_BAR_AUTHORITY,Bar grip-section diameter.,0.028,m,LITERATURE_DIRECT,S04,IWF men's bar standard,—,RECOMPUTED_FROM_INPUTS,
DECISION,LB-04,LOAD_BAR_AUTHORITY,Grip section length.,1.31,m,LITERATURE_DIRECT,S04,IWF men's bar standard,—,RECOMPUTED_FROM_INPUTS,
DECISION,LB-05,LOAD_BAR_AUTHORITY,Sleeve diameter.,0.05,m,LITERATURE_DIRECT,S04,IWF men's bar standard,—,RECOMPUTED_FROM_INPUTS,
DECISION,LB-06,LOAD_BAR_AUTHORITY,Sleeve length (each).,0.415,m,LITERATURE_DIRECT,S04,IWF men's bar standard,—,RECOMPUTED_FROM_INPUTS,
DECISION,LB-07,LOAD_BAR_AUTHORITY,Composite inertial surrogate construction.,"{""shaft_length_m"": 1.37, ""shaft_diameter_m"": 0.028, ""sleeves"": [0.415, 0.05], ""rho_eff_kg_m3"": 8086.422350243007, ""m_shaft_kg"": 6.821547880650857, ""m_sleeve_each_kg"": 6.589226059674571}",m / kg/m^3 / kg,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S04,coaxial stepped-cylinder surrogate; rho_eff chosen so total mass equals exactly 20 kg,declared alternative surrogate: uniform 2.200 m x 0.028 m rod (non-IWF) with I_transverse 8.06764667 kg m^2,RECOMPUTED_FROM_INPUTS,A uniform 2.2 m x 28 mm rod must never be presented as the IWF bar geometry.
DECISION,LB-08,LOAD_BAR_AUTHORITY,Composite bar inertia about its COM (bar axis along y).,"{""I_transverse_kg_m2"": 11.75585696777048, ""I_axis_kg_m2"": 0.004786777979600392}",kg m^2,PHYSICS_IDENTITY,S04,analytic stepped-cylinder inertia,surrogate-shape sensitivity: uniform-rod case; sleeve/shaft mass redistribution +/-10%,RECOMPUTED_FROM_INPUTS,Bar pitch inertia materially exceeds a uniform-rod estimate (mass concentration in the sleeves).
DECISION,LB-09,LOAD_BAR_AUTHORITY,Bar collision geometry.,composite collision representation matching LB-07 dimensions (grip/shaft segment plus two sleeves); exact MuJoCo primitive choice is a RES-83 implementation detail; bar-floor collision physically enabled and its contact is a task failure,—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S04,system authority section 8; COLLISION_CONTACT_POLICY,—,RECOMPUTED_FROM_INPUTS,No disabled bar shell may simultaneously serve as evidence for a prohibited-contact claim.
DECISION,LB-10,LOAD_BAR_AUTHORITY,Attachment semantics.,rigid attachment to HAT in V1; no bar roll/compliance; intentional bar/HAT/hand attachment contacts excluded from the fall/prohibited-contact register,—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S04;S16,task definition,—,RECOMPUTED_FROM_INPUTS,
DECISION,JC-01,JOINT_COORDINATE_ROM_AUTHORITY,World axis convention.,"{""+x"": ""anterior/forward"", ""+y"": ""athlete left"", ""+z"": ""up""}",—,PHYSICS_IDENTITY,—,system authority section 5,—,RECOMPUTED_FROM_INPUTS,Right-handed frame.
DECISION,JC-02,JOINT_COORDINATE_ROM_AUTHORITY,Root joint semantics.,"unconstrained planar base: root_tx, root_tz, root_ry with zero stiffness, zero damping, zero armature and no positional catch; NOT a 6-DOF free root",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,—,system authority section 7,—,RECOMPUTED_FROM_INPUTS,"Lateral translation, roll and yaw are structurally removed; removed DOFs must never be called 'free'."
DECISION,JC-03,JOINT_COORDINATE_ROM_AUTHORITY,Trunk-pelvis sagittal hinge.,"{""semantic"": ""TRUNK_PELVIS_SAGITTAL_HINGE (legacy code name 'lumbar' permitted only with this semantic exposed)"", ""range_rad"": [-0.610865, 0.610865], ""range_deg"": [-35.0, 35.0]}",rad / deg,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S19,aggregate reduced-model trunk-pelvis flexion-extension; not a literal lumbar-spine joint,"sensitivity on the reduced bound is part of the strategy-envelope study, not a calibration to exceed",RECOMPUTED_FROM_INPUTS,Explicit reduced-model engineering bound; must not be presented as measured lumbar ROM.
DECISION,JC-04,JOINT_COORDINATE_ROM_AUTHORITY,Hip structural ROM.,"{""range_rad"": [-0.349066, 2.268928], ""range_deg"": [-20.0, 130.0]}",rad / deg,HUMAN_ANATOMY_REFERENCE,S19,general-human hip flexion/extension capacity,—,RECOMPUTED_FROM_INPUTS,"Structural capability bound, not a technique target."
DECISION,JC-05,JOINT_COORDINATE_ROM_AUTHORITY,Knee structural ROM.,"{""range_rad"": [0.0, 2.443461], ""range_deg"": [0.0, 140.0]}",rad / deg,HUMAN_ANATOMY_REFERENCE,S19,general-human knee flexion capacity,—,RECOMPUTED_FROM_INPUTS,No nominal hyperextension; reverse-knee geometry is structurally impossible under the V3 coordinate authority.
DECISION,JC-06,JOINT_COORDINATE_ROM_AUTHORITY,Ankle structural ROM.,"{""range_rad"": [-0.959931, 0.785398], ""range_deg"": [-55.0, 45.0]}",rad / deg,HUMAN_ANATOMY_REFERENCE,S19,weight-bearing dorsiflexion ~39-45 deg; soccer jump-landing peaks ~32-38 deg,—,RECOMPUTED_FROM_INPUTS,The former +20 deg dorsiflexion cap is withdrawn as too restrictive for a structural human envelope.
DECISION,JC-07,JOINT_COORDINATE_ROM_AUTHORITY,MTP structural ROM.,"{""range_rad"": [-0.523599, 1.570796], ""range_deg"": [-30.0, 90.0]}",rad / deg,HUMAN_ANATOMY_REFERENCE,S19,general-human first-MTP dorsiflexion capacity,—,RECOMPUTED_FROM_INPUTS,Negative is plantarflexion; positive is toe dorsiflexion.
DECISION,JC-08,JOINT_COORDINATE_ROM_AUTHORITY,Sagittal joint sign conventions.,"{""root_ry"": ""+ about +y = forward whole-body pitch"", ""trunk_pelvis"": ""+ about +y = forward trunk flexion relative to pelvis"", ""hip"": ""axis -y, +q = hip flexion (knee moves anteriorly)"", ""knee"": ""axis +y, +q = knee flexion (ankle moves posteriorly relative to knee)"", ""ankle"": ""axis -y, +q = dorsiflexion, -q = plantarflexion"", ""mtp"": ""axis -y, +q = toe dorsiflexion/extension""}",—,PHYSICS_IDENTITY,—,system authority section 5; deterministic FK derivation,—,RECOMPUTED_FROM_INPUTS,"Propulsion must reduce hip/knee flexion, drive ankle negative (plantarflexion) and permit positive MTP dorsiflexion in the forefoot/toe rocker."
DECISION,JC-09,JOINT_COORDINATE_ROM_AUTHORITY,Analytic FK sign probes (mandatory deterministic validation).,"{""root_ry_probe"": ""root_ry = +10 deg with all joints zero: a point initially on +z above the root moves to +x by L*sin(10 deg); COM x increases"", ""hip_probe"": ""hip = +10 deg (axis -y): knee joint x increases by L_thigh*sin(10 deg) (anterior)"", ""knee_probe"": ""knee = +10 deg (axis +y): ankle joint x decreases by L_shank*sin(10 deg) (posterior)"", ""ankle_probe"": ""ankle = +10 deg (axis -y): toe-tip z increases by L_foot*cos(ankle_rest)*sin(10 deg) (dorsiflexion)"", ""mtp_probe"": ""mtp = +10 deg (axis -y): toe-tip z increases relative to the forefoot (dorsiflexion)"", ""trunk_probe"": ""trunk_pelvis hinge = +10 deg about +y: head/vertex x increases by L_MIDH_vertex*sin(10 deg) (forward flexion)"", ""root_tx_probe"": ""root_tx = +0.01 m: all body x coordinates increase by 0.01 m exactly"", ""root_tz_probe"": ""root_tz = +0.01 m: all body z coordinates increase by 0.01 m exactly""}",—,PHYSICS_IDENTITY,—,analytic forward kinematics of the frozen topology,—,RECOMPUTED_FROM_INPUTS,"RES-83 must implement these probes as tests; any sign disagreement is a build failure, not a tuning problem."
DECISION,JC-10,JOINT_COORDINATE_ROM_AUTHORITY,"ROM values are capability bounds, not targets.",no controller may chase a structural limit; joint-limit hits and saturated-limit dwell are telemetry warnings,—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S19,system authority section 14,—,RECOMPUTED_FROM_INPUTS,
DECISION,FM-01,FOOT_MTP_MODEL_AUTHORITY,Frozen foot abstraction.,"per foot: hindfoot body, forefoot body welded/fixed to the hindfoot in V1 (separate geometry/inertia, no midtarsal DOF), toe/phalanx body, one sagittal MTP hinge; ankle hinge connects shank -> hindfoot",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S02,system authority section 6; S02 three-segment model,locked-midfoot alternative required (FM-03),RECOMPUTED_FROM_INPUTS,The old single rigid box foot is rejected.
DECISION,FM-02,FOOT_MTP_MODEL_AUTHORITY,Locked midfoot classification.,"a rigid arch / locked midfoot is a MATERIAL MODEL-FORM UNCERTAINTY, not harmless omission",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S02,multi-segment foot literature,mandatory compliant/articulated-midfoot alternative,RECOMPUTED_FROM_INPUTS,Rigid-foot assumptions can materially distort ankle ROM and quasi-stiffness.
DECISION,FM-03,FOOT_MTP_MODEL_AUTHORITY,Required midfoot alternative sensitivity.,"{""requirement"": ""final qualification must compare the locked-midfoot Plant against a plausible compliant/articulated-midfoot alternative (at least one bounded sagittal midtarsal DOF or equivalent compliant coupling with documented range/stiffness)"", ""change_triggers_reopening_RES83"": [""H2"", ""ankle/MTP work and power"", ""CoP migration"", ""toe-off timing"", ""landing absorption"", ""control feasibility""]}",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S02,system authority section 6,required,RECOMPUTED_FROM_INPUTS,"If locking the midfoot materially changes these outputs, the V1 locked-midfoot Plant is not qualified."
DECISION,FM-04,FOOT_MTP_MODEL_AUTHORITY,Foot segment masses.,"{""hindfoot"": 0.4675536, ""forefoot"": 0.4588952, ""phalanx"": 0.1558512}",kg,LITERATURE_DIRECT,S01;S02,"de Leva whole-foot mass fraction 0.0137 x 79 kg, split 43.2/42.4/14.4 % per S02",foot-inertia sensitivity 0.5x/1.5x,RECOMPUTED_FROM_INPUTS,Sum equals the de Leva whole-foot mass.
DECISION,FM-05,FOOT_MTP_MODEL_AUTHORITY,MTP nominal axis location and toe length.,"{""MTP_X_FROM_HEEL_M"": 0.20625, ""TOE_LENGTH_M"": 0.06875, ""ratio_of_foot_length"": 0.75}",m / —,LITERATURE_INFORMED_SYNTHETIC,S02;S20,first-MTP fulcrum locations span ~70-79% of foot length in published data,"MTP location sensitivity [0.70, 0.79] x foot length",RECOMPUTED_FROM_INPUTS,"0.75 is a reduced-axis nominal, not subject-specific anatomy."
DECISION,FM-06,FOOT_MTP_MODEL_AUTHORITY,Plantar contact regions and dimensions (heel / forefoot / toe).,"{""heel"": {""x_from_heel_start_m"": 0.0, ""x_from_heel_end_m"": 0.07, ""width_m"": 0.07}, ""forefoot"": {""x_from_heel_start_m"": 0.07, ""x_from_heel_end_m"": 0.20625, ""width_m"": 0.105}, ""toe"": {""x_from_heel_start_m"": 0.20625, ""x_from_heel_end_m"": 0.275, ""width_m"": 0.09}}",m,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S02;S18,reduced contact patches matching the frozen foot partition; heel breadth is materially below ball breadth (S18),patch dimension sensitivity +/- 0.010 m; only these regions may create valid support,RECOMPUTED_FROM_INPUTS,The three regions are independently observable; RES-84 builds the support hull/CoP authority from their active contacts.
DECISION,FM-07,FOOT_MTP_MODEL_AUTHORITY,"Foot frame, joint centers and segment partition.","{""ankle_joint_center"": [0.0, 0.0, 0.0], ""mid_tarsal_x_from_heel_m"": 0.07, ""mtp_x_from_heel_m"": 0.20625, ""toe_tip_x_from_heel_m"": 0.275, ""segment_lengths_m"": {""hindfoot"": 0.07, ""forefoot"": 0.13624999999999998, ""phalanx"": 0.06875000000000003}, ""segment_com_ankle_frame_m"": {""hindfoot"": [0.008310000000000005, 0.0, -0.027700000000000002], ""forefoot"": [0.07208875000000001, 0.0, -0.045810000000000003], ""phalanx"": [0.18122500000000002, 0.0, -0.04]}}",m,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S02,S02 joint-chain proximal conventions applied to the frozen reduced geometry,midtarsal placement sensitivity +/- 0.010 m; segment-inertia sensitivity 0.5x/1.5x,RECOMPUTED_FROM_INPUTS,Assembled foot COM cross-check against the de Leva whole-foot COM is declared in AB-15.
DECISION,FM-08,FOOT_MTP_MODEL_AUTHORITY,Foot segment inertia rule.,"{""rule"": ""I_segment_about_com_diagonal = I_rel_diagonal * m_segment^(5/3)"", ""segment_inertia_about_com_kg_m2"": {""hindfoot"": [0.0004337502415040432, 0.0005182470417970387, 0.0004168508814454441], ""forefoot"": [0.0003822233613175279, 0.0004723188679138023, 0.0006006367106418295], ""phalanx"": [0.0001150951698085389, 6.454356581420024e-05, 0.00015255751919720058]}}",kg m^2,LITERATURE_DIRECT,S02,S02 Table 3 relative tensors scaled by m^(5/3),foot-inertia sensitivity 0.5x/1.5x; midfoot alternative,RECOMPUTED_FROM_INPUTS,Diagonal terms used with a declared axis mapping; off-diagonal products are not silently imported into the sagittal model.
DECISION,FM-09,FOOT_MTP_MODEL_AUTHORITY,Passive MTP baseline mechanics.,"{""neutral_rad"": 0.0, ""k_nominal_Nm_per_rad"": 25.0, ""c_nominal_Nms_per_rad"": 2.0}",N m/rad / N m s/rad,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S10,predictive gait-model prior; not a CMJ measurement,"k set [0, 12.5, 25, 40]; c set [0, 0.4, 2]; zero-passive case (k=0,c=0)",RECOMPUTED_FROM_INPUTS,Passive values are engineering priors only; material dependence reopens authority.
DECISION,FM-10,FOOT_MTP_MODEL_AUTHORITY,Active MTP channel.,"one bounded net plantarflexor/resistive moment per foot in parallel with the passive baseline; reduced net moment, not a literal single-muscle actuator; no hidden high-power toe motor or arbitrary flight-energy injection",—,LITERATURE_INFORMED_SYNTHETIC,S08;S09,MTP restriction reduces CMJ height/impulse; intrinsic foot muscle activity drives MTP stiffness; the actuator channel is a reduced design decision informed by that evidence,final torque/rate/power caps owned by RES-85; supported-phase saturation telemetry mandatory,RECOMPUTED_FROM_INPUTS,A passive-only MTP is NOT sufficient as the sole mechanism for a human-valid maximal-CMJ claim.
DECISION,FM-11,FOOT_MTP_MODEL_AUTHORITY,MTP work accounting.,"qualification must report passive MTP work, active MTP work, total MTP work/power and an active-vs-passive sensitivity, proving no double-counting of distal power and no hidden toe-energy source",—,LITERATURE_INFORMED_SYNTHETIC,S08;S09;S10,S09/S10 mechanism and double-count risk,active-vs-passive separation required in every qualification report,RECOMPUTED_FROM_INPUTS,"Separation must be demonstrated, not asserted."
DECISION,FM-13,FOOT_MTP_MODEL_AUTHORITY,Sole plane and no-subsole-geometry rule.,"{""sole_plane_z_in_foot_frame_m"": -0.071565, ""rule"": ""no collision geom may extend below the sole plane, and all three contact patches are planar on the sole plane""}",m,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S02,locked-midfoot reduced geometry; all three contact patches are planar on the sole plane,—,RECOMPUTED_FROM_INPUTS,"The foot's visual/collision body above the sole is a RES-83 implementation detail, but no collision geom may protrude below the sole plane, and only the frozen patches may create valid support."
DECISION,FM-12,FOOT_MTP_MODEL_AUTHORITY,Foot geometry sensitivity.,ankle x +/- 0.010 m; MTP location span 0.70-0.79 L; foot length +/- 0.010 m; midfoot alternative; segment inertia 0.5x/1.5x,—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S02;S18;S20;S21,frozen foot geometry,declared,RECOMPUTED_FROM_INPUTS,No sensitivity may be silently omitted from the qualification manifest.
DECISION,SL-01,STANCE_LAB_CONTEXT_AUTHORITY,Model leg-plane separation.,"{""leg_plane_centerlines_y_m"": [-0.085, 0.085], ""separation_m"": 0.17}",m,ENGINEERING_NOMINAL_WITH_SENSITIVITY,—,sagittal reduction geometry,plane-separation sensitivity only as engineering geometry (+/- 0.010 m),RECOMPUTED_FROM_INPUTS,0.170 m is NOT an elite-soccer CMJ stance-width claim; true stance width and lateral balance are outside V1.
DECISION,SL-02,STANCE_LAB_CONTEXT_AUTHORITY,Foot orientation in the reduced model.,feet parallel (yaw removed); no toe-out angle is modeled,—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,—,yaw structurally removed,—,RECOMPUTED_FROM_INPUTS,Do not run a biological stance-width sensitivity by sliding feet laterally without a coherent 3-D pelvis/hip model.
DECISION,SL-03,STANCE_LAB_CONTEXT_AUTHORITY,Laboratory context.,indoor force-plate setting with training shoes; not cleat-on-turf,—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S22,task context of use,—,RECOMPUTED_FROM_INPUTS,Field/turf/cleat validity is outside the claim.
DECISION,SL-04,STANCE_LAB_CONTEXT_AUTHORITY,Force-plate measurement chain.,"{""plates"": ""dual force plates"", ""export_rate_hz"": 1000, ""rule"": "">=1000 Hz canonical comparison export with documented anti-aliasing/filter path; raw native signals retained""}",Hz,LITERATURE_INFORMED_SYNTHETIC,S11;S12;S22,force-platform sampling literature recorded in the system authority,—,RECOMPUTED_FROM_INPUTS,Native simulator state/contact resolution remains event authority.
DECISION,SL-05,STANCE_LAB_CONTEXT_AUTHORITY,Countermovement depth and stance are self-selected.,no single ideal knee/hip depth is frozen; professional protocols commonly yield ~60-90 deg knee flexion while elite data show legitimate strategy variability,—,LITERATURE_INFORMED_SYNTHETIC,S06;S07;S16,system authority sections 12 and 14,strategy-envelope study required,RECOMPUTED_FROM_INPUTS,"Microscopic/noise-only dips must be rejected, but no elite squat depth may be hard-coded as optimal."
DECISION,SL-06,STANCE_LAB_CONTEXT_AUTHORITY,Relative-to-quiet-stance reporting.,"all performance and force metrics are reported relative to the quiet-standing reference, with raw and filtered traces retained",—,LITERATURE_INFORMED_SYNTHETIC,S11;S12,processing-sensitivity literature,—,RECOMPUTED_FROM_INPUTS,
DECISION,CC-01,COLLISION_CONTACT_POLICY,Valid floor support.,only the active plantar heel / forefoot / toe regions of either foot may create valid floor support,—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S02;S22,system authority section 9,contact-parameter sensitivity required,RECOMPUTED_FROM_INPUTS,Landing may legitimately begin toe/forefoot-first before heel.
DECISION,CC-02,COLLISION_CONTACT_POLICY,Prohibited / fall contact.,"pelvis, HAT, thigh, shank or bar contact with the floor is prohibited/fall contact; body/bar-floor contact is a task failure",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S22,system authority sections 9 and 16,—,RECOMPUTED_FROM_INPUTS,No disabled collision shell may simultaneously serve as evidence for a prohibited-contact claim.
DECISION,CC-03,COLLISION_CONTACT_POLICY,Collision enablement matrix (summary).,"{""enabled"": [""plantar regions vs floor"", ""bar vs floor (fail register)"", ""bar vs nonattached lower limb"", ""opposite-foot collisions"", ""nonadjacent self-collision where physically possible""], ""excluded_with_rationale"": [""intentional bar/HAT/hand attachment contacts"", ""adjacent anatomical parent-child pairs where self-contact is impossible""]}",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S22,system authority section 9,"representative-pose collision audit mandatory: standing, deep legal countermovement, takeoff extension, flight, touchdown, landing absorption, recovery",RECOMPUTED_FROM_INPUTS,All exclusions machine-readable with rationale.
DECISION,CC-04,COLLISION_CONTACT_POLICY,No artificial support or catch.,"no artificial root limits, root springs, root damping, hidden supports or catch planes; root DOF passives are exactly zero",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,—,system authority sections 7 and 15,zero-value verification required,RECOMPUTED_FROM_INPUTS,State overrides/freezes fail NO_ARTIFICIAL_SUPPORT.
DECISION,CC-05,COLLISION_CONTACT_POLICY,Contact dimension (condim) classification.,"{""nominal_plantar_floor"": 4, ""nominal_other_contacts"": 3, ""sensitivity"": [3, 4, 6], ""rationale"": ""plantar-floor contacts carry sliding + torsional friction authority; other contacts are declared nominal""}",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S22,MuJoCo contact model semantics,condim sensitivity must be executed if enabled dimensions differ from nominal,RECOMPUTED_FROM_INPUTS,Contact authority is never reduced to one scalar friction coefficient.
DECISION,CC-06,COLLISION_CONTACT_POLICY,Sliding friction.,"{""mu_slide_nominal"": 0.9, ""sensitivity"": [0.5, 1.5]}",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S22,sports shoe/surface measurements span materially different values by outsole and method,"mandatory sweep [0.50, 1.50]",RECOMPUTED_FROM_INPUTS,0.90 is not a measured universal athletic-surface truth.
DECISION,CC-07,COLLISION_CONTACT_POLICY,Torsional friction.,"{""status"": ""numeric value DEFERRED_TO_LATER_AUTHORITY (RES-84)"", ""ownership"": ""RES-84 owns the numeric value and its solution-verification justification"", ""qualification_domain_frozen_here"": ""must be selected by solution verification, declared in candidate identity, sensitivity-tested, and shown not to create artificial spin or yaw-drift authority""}",—,DEFERRED_TO_LATER_AUTHORITY,S22,MuJoCo friction-cone semantics,required alongside CC-05/CC-06,RECOMPUTED_FROM_INPUTS,"Deferral is bounded: value + sensitivity domain are frozen by RES-84, not silently chosen at run time."
DECISION,CC-08,COLLISION_CONTACT_POLICY,Rolling friction.,"{""nominal"": 0.0, ""rationale"": ""nominal foot contact is box-like; rolling friction is not needed for box-floor contact"", ""condition"": ""if any round/capsule plantar contact geometry is introduced, a numeric rolling-friction value becomes DEFERRED_TO_LATER_AUTHORITY (RES-84) and must be sensitivity-tested""}",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S22,MuJoCo rolling-friction semantics,required if round contact geoms are introduced,RECOMPUTED_FROM_INPUTS,"Nominal zero is a statement about the nominal geometry, not a claim about shoes."
DECISION,CC-09,COLLISION_CONTACT_POLICY,Contact margin and gap.,"{""margin"": ""numeric value DEFERRED_TO_LATER_AUTHORITY (RES-84); semantics frozen: included in the takeoff clearance guard max(2 mm, margin + verified numerical/penetration allowance)"", ""gap"": ""numeric value DEFERRED_TO_LATER_AUTHORITY (RES-84); semantics frozen: zero nominal or declared and included in clearance accounting""}",m,DEFERRED_TO_LATER_AUTHORITY,S22,MuJoCo margin/gap semantics; EVENT_MEASUREMENT_BOUNDARY,RES-84 must seal exact evaluated values in the candidate identity,RECOMPUTED_FROM_INPUTS,Margin/gap may never silently shrink the takeoff clearance definition.
DECISION,CC-10,COLLISION_CONTACT_POLICY,solref ownership.,"{""owner"": ""RES-84 / RES-86"", ""provisional_rule"": ""any provisional standing-contact setting is labeled PROVISIONAL_NUMERICAL and cannot silently become final candidate authority"", ""must_survive"": [""timestep refinement"", ""impact/contact sensitivity"", ""no qualitative task reversal""]}",—,DEFERRED_TO_LATER_AUTHORITY,S22,MuJoCo contact compliance,mandatory solution-verification study,RECOMPUTED_FROM_INPUTS,Extremely stiff contact is not automatically more physical.
DECISION,CC-11,COLLISION_CONTACT_POLICY,solimp ownership.,"{""owner"": ""RES-84 / RES-86"", ""provisional_rule"": ""provisional values labeled PROVISIONAL_NUMERICAL; final values selected by solution verification, never by labeling them human soft tissue""}",—,DEFERRED_TO_LATER_AUTHORITY,S22,MuJoCo contact impedance,mandatory solution-verification study,RECOMPUTED_FROM_INPUTS,Same bounded-deferral rule as CC-10.
DECISION,CC-12,COLLISION_CONTACT_POLICY,Penetration authority.,"{""numeric_tolerance"": ""DEFERRED_TO_LATER_AUTHORITY (RES-84/RES-86 solution verification)"", ""frozen_constraints"": [""bounded penetration with no tunneling"", ""no contact inversion/chatter exploitation"", ""penetration allowance declared in the clearance guard"", ""the historical project candidate hard cap 0.010 m remains RES-82-owned and is NOT re-frozen here""]}",m,DEFERRED_TO_LATER_AUTHORITY,S22,solution verification; RES-82 project hard-rule candidate,declared tolerance in candidate identity,RECOMPUTED_FROM_INPUTS,"Penetration evidence must be reported raw, not only aggregated."
DECISION,CC-13,COLLISION_CONTACT_POLICY,Engineered-contact realism rule.,"final candidate must show no material dependence on the declared contact/friction sensitivity and no uncontrolled slip, artificial sticking, friction-cone saturation or solver-dependent qualitative reversal",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S22,system authority section 10,material qualitative reversal blocks final authority until explained or narrowed,RECOMPUTED_FROM_INPUTS,No numerical contact choice may be presented as a sports-science measurement.
DECISION,PT-01,PLANT_TOPOLOGY_AUTHORITY,Model revision identity.,"{""MODEL_REVISION"": ""loaded-cmj-model-3"", ""MODEL_ID"": ""loaded-cmj-20kg-elite-soccer-v3""}",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,—,successor Plant identity,—,RECOMPUTED_FROM_INPUTS,
DECISION,PT-02,PLANT_TOPOLOGY_AUTHORITY,Body list including world.,"[""world"", ""pelvis"", ""HAT"", ""bar"", ""left_thigh"", ""right_thigh"", ""left_shank"", ""right_shank"", ""left_hindfoot"", ""right_hindfoot"", ""left_forefoot"", ""right_forefoot"", ""left_toe"", ""right_toe""]",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S01;S04,"world, pelvis, HAT, bar, bilateral thigh/shank/hindfoot/forefoot/toe",—,RECOMPUTED_FROM_INPUTS,Expected NBODY including world = 14.
